bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000001100001011,3C5C,80030B
0011110001011100,100000000000001100001110,3C5C,80030E
0011110001011100,100000000000001100010000,3C5C,800310
0011110001011100,100000000000001100010011,3C5C,800313
0011110001011100,100000000000001100010101,3C5C,800315
0011110001011100,100000000000001100011000,3C5C,800318
0011110001011100,100000000000001100011010,3C5C,80031A
0011110001011100,100000000000001100011101,3C5C,80031D
0011110001011100,100000000000001100011111,3C5C,80031F
0011110001011100,100000000000001100100010,3C5C,800322
0011110001011100,100000000000001100100100,3C5C,800324
0011110001011100,100000000000001100100111,3C5C,800327
0011110001011100,100000000000001100101001,3C5C,800329
0011110001011100,100000000000001100101100,3C5C,80032C
0011110001011100,100000000000001100101110,3C5C,80032E
0011110001011100,100000000000001100110001,3C5C,800331
0011110001011100,100000000000001100110011,3C5C,800333
0011110001011100,100000000000001100110110,3C5C,800336
0011110001011100,100000000000001100111000,3C5C,800338
0011110001011100,100000000000001100111011,3C5C,80033B
0011110001011100,100000000000001100111101,3C5C,80033D
0011110001011100,100000000000001101000000,3C5C,800340
0011110001011100,100000000000001101000010,3C5C,800342
0011110001011100,100000000000001101000101,3C5C,800345
0011110001011100,100000000000001101000111,3C5C,800347
0011110001011100,100000000000001101001010,3C5C,80034A
0011110001011100,100000000000001101001100,3C5C,80034C
0011110001011100,100000000000001101001111,3C5C,80034F
0011110001011100,100000000000001101010001,3C5C,800351
0011110001011100,100000000000001101010100,3C5C,800354
0011110001011100,100000000000001101010110,3C5C,800356
0011110001011100,100000000000001101011001,3C5C,800359
0011110001011100,100000000000001101011011,3C5C,80035B
0011110001011100,100000000000001101011110,3C5C,80035E
0011110001011100,100000000000001101100000,3C5C,800360
0011110001011100,100000000000001101100011,3C5C,800363
0011110001011100,100000000000001101100101,3C5C,800365
0011110001011100,100000000000001101101000,3C5C,800368
0011110001011100,100000000000001101101010,3C5C,80036A
0011110001011100,100000000000001101101101,3C5C,80036D
0011110001011100,100000000000001101101111,3C5C,80036F
0011110001011100,100000000000001101110010,3C5C,800372
0011110001011100,100000000000001101110100,3C5C,800374
0011110001011100,100000000000001101110111,3C5C,800377
0011110001011100,100000000000001101111001,3C5C,800379
0011110001011100,100000000000001101111100,3C5C,80037C
0011110001011100,100000000000001101111110,3C5C,80037E
0011110001011100,100000000000001110000001,3C5C,800381
0011110001011100,100000000000001110000011,3C5C,800383
0011110001011100,100000000000001110000110,3C5C,800386
0011110001011100,100000000000001110001000,3C5C,800388
0011110001011100,100000000000001110001011,3C5C,80038B
0011110001011100,100000000000001110001101,3C5C,80038D
0011110001011100,100000000000001110010000,3C5C,800390
0011110001011100,100000000000001110010010,3C5C,800392
0011110001011100,100000000000001110010101,3C5C,800395
0011110001011100,100000000000001110010111,3C5C,800397
0011110001011100,100000000000001110011010,3C5C,80039A
0011110001011100,100000000000001110011100,3C5C,80039C
0011110001011100,100000000000001110011111,3C5C,80039F
0011110001011100,100000000000001110100001,3C5C,8003A1
0011110001011100,100000000000001110100100,3C5C,8003A4
0011110001011100,100000000000001110100110,3C5C,8003A6
0011110001011100,100000000000001110101001,3C5C,8003A9
0011110001011100,100000000000001110101011,3C5C,8003AB
0011110001011100,100000000000001110101110,3C5C,8003AE
0011110001011100,100000000000001110110000,3C5C,8003B0
0011110001011100,100000000000001110110011,3C5C,8003B3
0011110001011100,100000000000001110110101,3C5C,8003B5
0011110001011100,100000000000001110111000,3C5C,8003B8
0011110001011100,100000000000001110111010,3C5C,8003BA
0011110001011100,100000000000001110111101,3C5C,8003BD
0011110001011100,100000000000001110111111,3C5C,8003BF
0011110001011100,100000000000001111000010,3C5C,8003C2
0011110001011100,100000000000001111000100,3C5C,8003C4
0011110001011100,100000000000001111000111,3C5C,8003C7
0011110001011100,100000000000001111001001,3C5C,8003C9
0011110001011100,100000000000001111001100,3C5C,8003CC
0011110001011100,100000000000001111001110,3C5C,8003CE
0011110001011100,100000000000001111010001,3C5C,8003D1
0011110001011100,100000000000001111010011,3C5C,8003D3
0011110001011100,100000000000001111010110,3C5C,8003D6
0011110001011100,100000000000001111011000,3C5C,8003D8
0011110001011100,100000000000001111011011,3C5C,8003DB
0011110001011100,100000000000001111011101,3C5C,8003DD
0011110001011100,100000000000001111100000,3C5C,8003E0
0011110001011100,100000000000001111100010,3C5C,8003E2
0011110001011100,100000000000001111100101,3C5C,8003E5
0011110001011100,100000000000001111100111,3C5C,8003E7
